Category,Subcategory,Procedure / Item,Condition / Trigger / Step,Price / Rate,Primary Question (English),Primary Question (Tagalog),Clinic Approved Response (English),Clinic Approved Response (Tagalog),Question Variations (English),Question Variations (Tagalog)
Dental Services FAQ,Orthodontics,Braces Treatment Duration,General Inquiry,-,How long does braces treatment usually take?,Gaano katagal karaniwang tumatagal ang gamutan sa braces?,Braces treatment typically takes between 1 to 3 years depending on the complexity of your dental alignment and compliance with monthly adjustments.,Karaniwang tumatagal ang braces treatment ng 1 hanggang 3 taon depende sa sitwasyon ng inyong mga ngipin at sa inyong pagsunod sa buwanang adjustment.,How many years do I wear braces?; When will my braces come off?; Duration of braces treatment,Ilang taon bago matapos ang braces?; Kailan tatanggalin ang braces ko?; Gaano katagal kailangan magsuot ng braces?
Dental Services FAQ,Cosmetic Dentistry,Teeth Whitening Safety,General Inquiry,-,Is teeth whitening safe?,Ligtas po ba ang teeth whitening?,"Yes, professional teeth whitening conducted by a licensed dentist is safe and uses controlled formulations that protect your enamel and gums.","Opo, ang professional teeth whitening na ginagawa ng lisensyadong dentista ay ligtas at gumagamit ng mga aprubadong pormula na nagpoprotekta sa inyong enamel at gilagid.",Will bleaching damage my teeth?; Is teeth whitening harmful?; Are there side effects to teeth bleaching?,Masisira ba ang ngipin sa bleaching?; Ligtas ba magpaputi ng ngipin?; May masamang epekto ba ang teeth whitening?
Dental Services FAQ,Oral Surgery,Extraction Duration,General Inquiry,-,How long does tooth extraction take?,Gaano katagal ang proseso ng pagbunot ng ngipin?,"A simple extraction usually takes about 20 to 45 minutes per tooth, including local anesthesia onset and post-operative instructions.","Ang simpleng bunot ay karaniwang tumatagal ng mga 20 hanggang 45 minuto bawat ngipin, kabilang ang paghihintay na tumalab ang pampamanhid at ang pagbibigay ng tagubilin pagkatapos ng bunot.",How many minutes does pulling a tooth take?; Is tooth extraction fast?; How long will I be in the dental chair for extraction?,Ilang minuto ang bunot ng ngipin?; Mabilis lang po ba magpabunot?; Gaano katagal sa dental chair kapag nagpabunot?
Dental Services FAQ,Post-Extraction Care,Eating After Tooth Extraction,Post-Procedure,-,When can I eat after a tooth extraction?,Kailan po ako maaaring kumain pagkatapos ng bunot?,"You may eat soft, cool foods once the local anesthesia numbness has completely worn off (typically 2–3 hours), avoiding chewing on the extraction side.","Maaari na po kayong kumain ng malalambot at malalamig na pagkain kapag nawala na nang tuluyan ang manhid mula sa anesthesia (karaniwang 2–3 oras), at iwasang ngumuya sa bahaging binunutan.",Can I eat right after extraction?; What can I eat after tooth pulling?; When does numbness wear off so I can eat?,Pwede na ba kumain agad pagkatapos bunutan?; Ano ang pwedeng kainin pagkatapos ng bunot?; Kailan mawawala ang pamamanhid para makakain?
Dental Services FAQ,Medication Instructions,Prescribed Medication Timing,Post-Procedure,-,When should I take my prescribed medications?,Kailan ko po dapat inumin ang aking mga iniresetang gamot?,Take prescribed pain relievers and antibiotics strictly according to your dentist's prescription and dosage schedule. Complete the full course of antibiotics as directed.,Inumin po ang mga iniresetang gamot sa pananakit at antibiotics nang mahigpit ayon sa reseta at schedule ng inyong dentista. Siguraduhing ubusin ang buong kurso ng antibiotics ayon sa tagubilin.,How to take post-op medicines?; When should I start my antibiotics?; Can I take pain medicine immediately?,Paano inumin ang gamot pagkatapos ng dental procedure?; Kailan iinumin ang antibiotic pagkabunot?; Pwede na ba uminom ng pain reliever agad?
Dental Services FAQ,Emergency / Troubleshooting,Dislodged Temporary Filling,Urgent Concern,-,What should I do if my temporary filling falls off?,Ano ang dapat kong gawin kapag natanggal ang aking pansamantalang pasta (temporary filling)?,Please contact TeethTalk Dental Clinic right away to schedule a replacement visit. Avoid chewing on that side and keep the area gently rinsed.,Mangyaring kontakin agad ang TeethTalk Dental Clinic upang magpa-schedule ng pagpapalit o pagpapaayos nito. Iwasan munang ngumuya sa bahaging iyon at banlawan nang marahan ang inyong bibig.,My temporary pasta came out; Lost my temporary tooth filling; What if temporary filling falls out?,Natanggal ang temporary pasta ko ano gagawin?; Nalaglag ang pansamantalang pasta; Pwede ba pabayaan kapag natanggal ang temporary filling?
Dental Services FAQ,Emergency / Troubleshooting,Loose Braces Bracket,Urgent Concern,₱250–₱500 recementing fee,What should I do if my braces bracket becomes loose?,Ano ang dapat kong gawin kapag naging maluwag o natanggal ang bracket ng aking braces?,"Apply orthodontic wax over the bracket if it is irritating your mouth, avoid playing with it, and contact the clinic immediately to have it recemented.","Lagyan po ng orthodontic wax ang bracket kung ito ay sumusugat sa inyong bibig, huwag galawin o paglaruan, at kontakin agad ang klinika upang maikabit o mai-recement ito muli.",My bracket popped off; Loose bracket on braces; What to do with detached bracket?,Natanggal ang bracket ng braces ko; Maluwag ang bracket ko ano dapat gawin?; May sumusugat na bracket ng braces ano gagawin?
Dental Services FAQ,Emergency / Troubleshooting,Broken Retainer,Urgent Concern,Replacement costs apply per arch,What should I do if my retainer breaks?,Ano ang dapat kong gawin kapag nabasag o nasira ang aking retainer?,"Stop wearing a broken or cracked retainer to prevent mouth injury, and visit the clinic promptly to take a new impression for a replacement.","Itigil muna po ang pagsusuot ng basag o sirang retainer upang maiwasan ang sugat sa bibig, at bumisita agad sa klinika upang makunan ng bagong sukat para sa kapalit.",My retainer snapped; Cracked clear retainer; Retainer broken in half,Nabasag ang retainer ko ano gagawin?; May lamat ang clear retainer ko pwede pa ba isuot?; Naputol ang retainer ko
Billing & Insurance,Payment Options,Payment Methods,General Inquiry,-,What payment methods do you accept?,Ano-anong paraan ng pagbabayad ang inyong tinatanggap?,"We accept cash, GCash, bank transfers, and major credit/debit cards. Please verify at the reception for available payment channels.","Tumatanggap po kami ng Cash, GCash, Bank Transfer, at mga pangunahing Credit o Debit Card. Mangyaring magtanong sa aming reception para sa iba pang detalye.",Can I pay with GCash?; Do you accept credit cards?; What are the modes of payment?,Pwede po ba magbayad gamit ang GCash?; Tumatanggap po ba kayo ng credit card?; Ano po ang mga mode of payment ninyo?
Billing & Insurance,Payment Options,Braces Installment Plans,General Inquiry,"Down payment: ₱4,000–₱30,000 depending on bracket type",Do you offer installment plans for braces?,Mayroon po ba kayong installment plans para sa braces?,"Yes, we offer flexible installment payment schemes for braces consisting of an initial down payment followed by affordable monthly adjustment fees.","Opo, nag-aalok po kami ng abot-kayang installment plan para sa braces kung saan magbabayad muna ng paunang down payment na susundan ng buwanang hulog sa bawat adjustment.",Can I pay braces in monthly installments?; How does payment for braces work?; Is there monthly payment for braces?,Pwede po ba installment ang braces?; Paano po ang bayaran sa braces?; May buwanang hulog po ba ang braces?
Billing & Insurance,Consultation Fees,Consultation Fee Deduction,General Inquiry,-,Is the consultation fee deducted from the treatment cost?,Ibinabawas po ba ang bayad sa konsultasyon sa kabuuang halaga ng gamutan?,"In many cases, the consultation fee can be applied or credited toward your scheduled treatment plan. Please inquire with our clinic staff during your visit.","Sa maraming pagkakataon, ang bayad sa checkup o konsultasyon ay maaaring ibawas o i-credit sa inyong itinakdang treatment plan. Mangyaring magtanong sa aming clinic staff sa inyong pagbisita.",Is consultation deductible?; Does the checkup fee go towards procedure cost?; Do I pay consultation if I get treatment today?,Bawas po ba ang consultation fee sa procedure?; Mababawas ba ang bayad sa checkup kapag nagpagawa ako agad?; Kasama na ba ang consultation fee sa treatment?
Emergency Care,Dental Emergency,Severe Toothache,Urgent / Emergency,-,What should I do if I have severe tooth pain?,Ano ang dapat kong gawin kapag mayroon akong matinding sakit sa ngipin?,"Rinse gently with warm salt water, take an over-the-counter painkiller if safe for you, avoid applying aspirin directly to the gum, and visit TeethTalk Dental Clinic immediately.","Magmumog po ng maligamgam na tubig na may asin, uminom ng aprubadong over-the-counter pain reliever kung ligtas sa inyo, huwag maglagay ng aspirin nang direkta sa gilagid, at pumunta agad sa TeethTalk Dental Clinic.",Unbearable toothache what to do?; Tooth pain emergency; Severe dental pain relief,Sobrang sakit ng ngipin ko anong gagawin?; Emergency toothache ano mabisang gamot?; Hindi matigil ang sakit ng ngipin ano gamot?
Emergency Care,Dental Emergency,Emergency Walk-Ins,Urgent / Emergency,-,Can I visit without an appointment during an emergency?,Maaari po ba akong pumunta nang walang appointment kapag emergency?,"Yes, dental emergencies (severe pain, uncontrolled bleeding, facial trauma) are prioritized as urgent walk-in cases. Please notify us on your way so our team can prepare.","Opo, ang mga dental emergency (tulad ng matinding pananakit, tuloy-tuloy na pagdurugo, o trauma sa mukha) ay binibigyang-priyoridad bilang urgent walk-in. Pakisabihan po kami habang papunta kayo upang makapaghanda ang aming dental team.",Do you accommodate dental emergencies?; Can I come right now for urgent tooth pain?; Walk-in for emergency,Tumatanggap ba kayo ng dental emergency kahit walang schedule?; Pwede bang pumunta agad kapag sumasakit nang sobra ang ngipin?; Urgent walk-in para sa emergency ngipin
Emergency Care,Dental Emergency,Facial Swelling,Urgent / Emergency,-,What should I do if my face is swollen?,Ano ang dapat kong gawin kapag namamaga ang aking mukha dahil sa ngipin?,Facial swelling often indicates a severe dental infection. Do not apply hot compress to your face; apply a cold pack externally and seek urgent dental evaluation at once.,Ang pamamaga ng mukha ay karaniwang senyales ng malalang impeksyon sa ngipin. Huwag pong maglagay ng mainit na compress sa pisngi; sa halip ay maglagay ng cold pack sa labas ng mukha at magpatingin agad sa dentista.,Swollen cheek from tooth infection; My face is swelling up what to do?; Gum and face swelling emergency,Namamaga ang pisngi ko dahil sa ngipin ano gagawin?; Namamaga ang mukha mula sa impeksyon sa ngipin; Emergency sa maga na mukha at gilagid
Pricelist,Basic Procedures,Oral Prophylaxis (Cleaning),Standard Procedure,"₱1,000–₱3,000",How much is oral prophylaxis (cleaning)?,Magkano po ang oral prophylaxis (cleaning)?,"Oral prophylaxis costs ₱1,000 to ₱3,000, depending on the patient's case and calculus buildup.","Ang oral prophylaxis (cleaning) ay nagkakahalaga ng ₱1,000 hanggang ₱3,000, depende sa kapal ng dumi o tartar ng pasyente.",How much is cleaning?; What is the price of oral prophylaxis?; Teeth cleaning cost; How much to clean teeth?,Magkano magpalinis ng ngipin?; Magkano ang cleaning sa TeethTalk?; Price ng oral prophylaxis; Magkano magpatanggal ng tartar?
Pricelist,Basic Procedures,Basic Tooth Extraction,Standard Procedure,"₱1,000–₱3,000",How much is a basic tooth extraction?,Magkano po ang simpleng pagbunot ng ngipin?,"Basic tooth extraction costs ₱1,000 to ₱3,000 depending on the complexity of the extraction.","Ang simpleng pagbunot ng ngipin ay nagkakahalaga ng ₱1,000 hanggang ₱3,000 depende sa hirap o kondisyon ng ngipin.",How much to pull a tooth?; Tooth extraction price; Cost of bunot ng ngipin; Simple extraction rate,Magkano magpabunot ng ngipin?; Presyo ng bunot sa ngipin; Magkano bunot sa clinic niyo?; Magkano magtanggal ng ngipin?
Pricelist,Basic Procedures,Additional Carpule Anesthesia,Add-on / Consumable,₱300 per additional carpule (first 2 free),How much is an additional carpule?,Magkano po ang dagdag na carpule ng pampamanhid?,Additional carpules cost ₱300 each after the first two free carpules included in the procedure.,Ang bawat karagdagang carpule ay nagkakahalaga ng ₱300 matapos ang unang dalawang libreng carpule na kasama sa procedure.,Price of extra anesthesia; How much for additional carpule?; Cost of dental anesthesia shot,Magkano ang dagdag na anesthesia?; Presyo ng additional carpule; Magkano magpadagdag ng pampamanhid?
Pricelist,Basic Procedures,Tooth Restoration (Pasta / Filling),Standard Procedure,"₱1,000–₱3,000",How much is tooth restoration?,Magkano po ang pasta o tooth restoration?,"Tooth restoration (pasta/filling) costs ₱1,000 to ₱3,000, depending on the tooth condition and surface area.","Ang tooth restoration (pasta) ay nagkakahalaga ng ₱1,000 hanggang ₱3,000, depende sa laki ng sira at kondisyon ng ngipin.",How much is pasta?; Cost of tooth filling; Dental filling price; Tooth restoration fee,Magkano magpapasta ng ngipin?; Presyo ng pasta sa ngipin; Magkano tooth filling?; Magkano pasta per tooth?
Pricelist,Special Procedures,Root Canal Treatment,Endodontic Procedure,"₱7,000–₱10,000 per canal",How much is a root canal treatment?,Magkano po ang root canal treatment?,"Root canal treatment costs ₱7,000 to ₱10,000 per canal.","Ang root canal treatment ay nagkakahalaga ng ₱7,000 hanggang ₱10,000 bawat canal.",Price of root canal; How much for RCT?; Root canal treatment cost per canal; RCT fee,Magkano ang RCT?; Presyo ng root canal therapy; Magkano root canal kada kanal?; Magkano magpa-root canal?
Pricelist,Special Procedures,Vital Pulp Therapy,Endodontic Procedure,"₱8,000",How much is vital pulp therapy?,Magkano po ang vital pulp therapy?,"Vital pulp therapy costs ₱8,000.","Ang vital pulp therapy ay nagkakahalaga ng ₱8,000.",Cost of vital pulp therapy; Vital pulp treatment price; How much is pulp therapy?,Presyo ng vital pulp therapy; Magkano ang pulp therapy?; Halaga ng vital pulp treatment
Pricelist,Special Procedures,Fiber Post,Restorative Procedure,"₱2,500",How much is a fiber post?,Magkano po ang fiber post?,"A fiber post costs ₱2,500.","Ang fiber post ay nagkakahalaga ng ₱2,500.",Cost of fiber post; Price for dental post; How much is a fiber post?,Presyo ng dental fiber post; Magkano ang poste sa ngipin?; Magkano fiber post?
Pricelist,Special Procedures,Build-Up with Fiber Reinforcement,Restorative Procedure,"₱4,000",How much is a build-up with fiber reinforcement?,Magkano po ang build-up with fiber reinforcement?,"Build-up with fiber reinforcement costs ₱4,000.","Ang build-up na may fiber reinforcement ay nagkakahalaga ng ₱4,000.",Price of fiber reinforced build up; Core build-up with fiber cost; How much is fiber build-up?,Presyo ng fiber reinforced build-up; Magkano core build-up na may fiber?; Build up na may fiber cost
Pricelist,Dentures (Prosthodontics),Ordinary Acrylic Denture,Removable Prosthetics,"₱8,000 per arch",How much is an ordinary acrylic denture?,Magkano po ang ordinary acrylic denture (pustiso)?,"An ordinary acrylic denture costs ₱8,000 per arch.","Ang ordinary acrylic denture ay nagkakahalaga ng ₱8,000 bawat arch (itaas o ibaba).",Cost of regular acrylic denture; Ordinary denture price; How much is standard denture per arch?,Magkano ang regular na pustiso?; Presyo ng acrylic denture bawat arch; Magkano ordinaryong pustiso?
